城市,城市经度,城市纬度
宜春市,114.416778,27.815619
益阳市,112.355180,28.553860
鹰潭市,117.069202,28.260189
营口市,122.235417,40.667012
永州市,111.613445,26.420394
榆林市,109.734589,38.285390
玉溪市,102.546543,24.352036
岳阳市,113.128958,29.357104
云浮市,112.044491,22.915094
运城市,111.007528,35.026412
枣庄市,117.323725,34.810487
湛江市,110.359377,21.270707
张家界市,110.479191,29.117096
张家口市,114.887543,40.824418
漳州市,117.647481,24.512948
昭通市,103.717465,27.338257
肇庆市,112.465091,23.047191
镇江市,119.425836,32.187849
郑州市,113.625368,34.746599
中山市,113.392782,22.517645
舟山市,122.207215,29.985295
周口市,114.696951,33.626149
株洲市,113.134002,27.827550
珠海市,113.576726,22.270715
驻马店市,114.022298,33.011529
资阳市,104.627636,30.128901
淄博市,118.054927,36.813487
自贡市,104.778442,29.339030
遵义市,106.927389,27.725654
